Time,Throughput_kbps,,,
60.61839339,1998.4375,,,38.61839339
60.71844104,2304.9375,,,38.71844104
60.8184887,2104.375,,,38.8184887
60.91853635,2199,,,38.91853635
61.018584,2388.25,,,39.018584
61.11863165,1915.125,,,39.11863165
61.2186793,1926.4375,,,39.2186793
61.31872695,1631.25,,,39.31872695
61.4187746,1264.0625,,,39.4187746
61.51882225,1146.8125,,,39.51882225
61.61886991,2006.375,,,39.61886991
61.71891756,2199,,,39.71891756
61.81896521,2588.8125,,,39.81896521
61.91901286,3896.6875,,,39.91901286
62.01906051,3902.5,,,40.01906051
62.11910816,3156.5625,,,40.11910816
62.21915581,4575.9375,,,40.21915581
62.31920346,4671.0625,,,40.31920346
62.41925112,4384.0625,,,40.41925112
62.51929877,4239.5,,,40.51929877
62.61934642,3894.75,,,40.61934642
62.71939407,2733.25,,,40.71939407
62.81944172,2513.4375,,,40.81944172
62.91948937,2199,,,40.91948937
63.01953702,2104.375,,,41.01953702
63.11958467,1546.5,,,41.11958467
63.21963233,2300.5625,,,41.21963233
63.31967998,2293.625,,,41.31967998
63.41972763,2199,,,41.41972763
63.51977528,1915.125,,,41.51977528
63.61982293,2388.25,,,41.61982293
63.71987058,1725.875,,,41.71987058
63.81991823,3239.875,,,41.81991823
63.91996588,4575.9375,,,41.91996588
64.02001354,4671.0625,,,42.02001354
64.12006119,4564.625,,,42.12006119
64.22010884,3261.25,,,42.22010884
64.32015649,3239.875,,,42.32015649
64.42020414,2021.0625,,,42.42020414
64.52025179,1536.625,,,42.52025179
64.62029944,1252.75,,,42.62029944
64.72034709,673.6875,,,42.72034709
64.82039475,189.25,,,42.82039475
64.9204424,696.3125,,,42.9204424
65.02049005,1264.0625,,,43.02049005
65.1205377,673.6875,,,43.1205377
65.22058535,1158.125,,,43.22058535
65.320633,1052.1875,,,43.320633
65.42068065,3546.375,,,43.42068065
65.52072831,4670.5625,,,43.52072831
65.62077596,4576.4375,,,43.62077596
65.72082361,4659.25,,,43.72082361
65.82087126,4207.75,,,43.82087126
65.92091891,2778.0625,,,43.92091891
66.02096656,4564.625,,,44.02096656
66.12101421,4671.0625,,,44.12101421
66.22106186,4575.9375,,,44.22106186
66.32110952,3829.75,,,44.32110952
66.42115717,4018.0625,,,44.42115717
66.52120482,3346,,,44.52120482
66.62125247,3050.625,,,44.62125247
66.72130012,2314.8125,,,44.72130012
66.82134777,2218.25,,,44.82134777
66.92139542,2729.875,,,44.92139542
67.02144307,2375.75,,,45.02144307
67.12149073,1146.8125,,,45.12149073
67.22153838,1828.4375,,,45.22153838
67.32158603,2093.0625,,,45.32158603
67.42163368,1346.8125,,,45.42163368
67.52168133,946.25,,,45.52168133
67.62172898,306.5,,,45.62172898
67.72177663,874.25,,,45.72177663
67.82182428,2967.3125,,,45.82182428
67.92187194,4492.625,,,45.92187194
68.02191959,2482.875,,,46.02191959
68.12196724,4670.5625,,,46.12196724
68.22201489,4587.375,,,46.22201489
68.32206254,4385.75,,,46.32206254
68.42211019,3713,,,46.42211019
68.52215784,4197.625,,,46.52215784
68.62220549,3345.8125,,,46.62220549
68.72225315,3228.5625,,,46.72225315
68.8223008,3251.1875,,,46.8223008
68.92234845,2850.0625,,,46.92234845
69.0223961,2766.75,,,47.0223961
69.12244375,2683.4375,,,47.12244375
69.2224914,2956,,,47.2224914
69.32253905,2104.375,,,47.32253905
69.4225867,1725.875,,,47.4225867
69.52263436,1651.75,,,47.52263436
69.62268201,3371,,,47.62268201
69.72272966,3735.625,,,47.72272966
69.82277731,3894.6875,,,47.82277731
69.92282496,3724.3125,,,47.92282496
70.02287261,3535.3125,,,48.02287261
70.12292026,3417.8125,,,48.12292026
70.22296792,2410.875,,,48.22296792
70.32301557,2482.875,,,48.32301557
70.42306322,2858,,,48.42306322
70.52311087,1820.5,,,48.52311087
70.62315852,2199,,,48.62315852
70.72320617,1536.625,,,48.72320617
70.82325382,3073.25,,,48.82325382
70.92330147,2482.875,,,48.92330147
71.02334913,2399.5625,,,49.02334913
71.12339678,2577.5,,,49.12339678
71.22344443,2340.8125,,,49.22344443
71.32349208,2304.9375,,,49.32349208
71.42353973,2199,,,49.42353973
71.52358738,2293.625,,,49.52358738
71.62363503,2199,,,49.62363503
71.72368268,1696.9375,,,49.72368268
71.82373034,2292.5,,,49.82373034
71.92377799,2444.8125,,,49.92377799
72.02382564,2165.5,,,50.02382564
72.12387329,2841.125,,,50.12387329
72.22392094,3047.25,,,50.22392094
72.32396859,2293.625,,,50.32396859
72.42401624,3069.875,,,50.42401624
72.52406389,2566.1875,,,50.52406389
72.62411155,2494.1875,,,50.62411155
72.7241592,2293.625,,,50.7241592
72.82420685,1357.25,,,50.82420685
72.9242545,768.3125,,,50.9242545
73.02430215,1358.6875,,,51.02430215
73.1243498,1252.75,,,51.1243498
73.22439745,1264.0625,,,51.22439745
73.3244451,874.25,,,51.3244451
73.42449276,862.9375,,,51.42449276
73.52454041,980.1875,,,51.52454041
73.62458806,957.5625,,,51.62458806
73.72463571,885.5625,,,51.72463571
73.82468336,2093.0625,,,51.82468336
73.92473101,1642.5625,,,51.92473101
74.02477866,1063.5,,,52.02477866
74.12482631,1442,,,52.12482631
74.22487397,1817.125,,,52.22487397
74.32492162,2388.25,,,52.32492162
74.42496927,2304.9375,,,52.42496927
74.52501692,2282.3125,,,52.52501692
74.62506457,2494.1875,,,52.62506457
74.72511222,1758.8125,,,52.72511222
74.82515987,2293.625,,,52.82515987
74.92520753,2471.5625,,,52.92520753
75.02525518,2293.625,,,53.02525518
75.12530283,2621.6875,,,53.12530283
75.22535048,2544,,,53.22535048
75.32539813,2112.25,,,53.32539813
75.42544578,1275.375,,,53.42544578
75.52549343,1468.6875,,,53.52549343
75.62554108,1998.4375,,,53.62554108
75.72558874,2304.9375,,,53.72558874
75.82563639,2409.4375,,,53.82563639
75.92568404,2456.125,,,53.92568404
76.02573169,2619.375,,,54.02573169
76.12577934,2050.0625,,,54.12577934
76.22582699,2104.375,,,54.22582699
76.32587464,2677.75,,,54.32587464
76.42592229,3129.4375,,,54.42592229
76.52596995,3608.5625,,,54.52596995
76.6260176,3980.875,,,54.6260176
76.72606525,3334.5,,,54.72606525
76.8261129,3997.125,,,54.8261129
76.92616055,1925,,,54.92616055
77.0262082,0,,,55.0262082
77.12625585,0,,,55.12625585
77.2263035,1484,,,55.2263035
77.32635116,1216.8125,,,55.32635116
77.42639881,2422.1875,,,55.42639881
77.52644646,1699.3125,,,55.52644646
77.62649411,1052.1875,,,55.62649411
77.72654176,1453.3125,,,55.72654176
77.82658941,2388.25,,,55.82658941
77.92663706,2577.5,,,55.92663706
78.02668471,2293.625,,,56.02668471
78.12673237,2683.4375,,,56.12673237
78.22678002,1941.8125,,,56.22678002
78.32682767,3251.1875,,,56.32682767
78.42687532,3429.125,,,56.42687532
78.52692297,3060.5,,,56.52692297
78.62697062,3649.375,,,56.62697062
78.72701827,3203,,,56.72701827
78.82706592,2210.3125,,,56.82706592
78.92711358,1745.125,,,56.92711358
79.02716123,1902.375,,,57.02716123
79.12720888,1375.3125,,,57.12720888
79.22725653,1536.625,,,57.22725653
79.32730418,2660.8125,,,57.32730418
79.42735183,2789.375,,,57.42735183
79.52739948,2755.4375,,,57.52739948
79.62744714,2577.5,,,57.62744714
79.72749479,2199,,,57.72749479
79.82754244,2199,,,57.82754244
79.92759009,2255.375,,,57.92759009
80.02763774,1260.6875,,,58.02763774
80.12768539,1347.375,,,58.12768539
80.22773304,1925,,,58.22773304
80.32778069,1663.75,,,58.32778069
80.42782835,662.375,,,58.42782835
80.527876,2240.875,,,58.527876
80.62792365,1568.25,,,58.62792365
80.7279713,1915.125,,,58.7279713
80.82801895,1737.1875,,,58.82801895
80.9280666,1820.5,,,58.9280666
81.02811425,2388.25,,,59.02811425
81.1281619,2293.625,,,59.1281619
81.22820956,2009.75,,,59.22820956
81.32825721,2218.25,,,59.32825721
81.42830486,2187.6875,,,59.42830486
81.52835251,2399.5625,,,59.52835251
81.62840016,1926.4375,,,59.62840016
81.72844781,1252.75,,,59.72844781
81.82849546,862.9375,,,59.82849546
81.92854311,968.875,,,59.92854311
82.02859077,293.75,,,60.02859077
82.12863842,862.9375,,,60.12863842
82.22868607,1166.0625,,,60.22868607
82.32873372,1809.1875,,,60.32873372
82.42878137,2304.9375,,,60.42878137
82.52882902,1915.125,,,60.52882902
82.62887667,2509.9375,,,60.62887667
82.72892432,2687.25,,,60.72892432
82.82897198,2517.0625,,,60.82897198
82.92901963,2187.6875,,,60.92901963
83.02906728,2210.3125,,,61.02906728
83.12911493,2388.25,,,61.12911493
83.22916258,2104.375,,,61.22916258
83.32921023,1747.0625,,,61.32921023
83.42925788,1631.25,,,61.42925788
83.52930553,1737.1875,,,61.52930553
83.62935319,1252.75,,,61.62935319
83.72940084,579.0625,,,61.72940084
83.82944849,1442,,,61.82944849
83.92949614,2199,,,61.92949614
84.02954379,2494.1875,,,62.02954379
84.12959144,2104.375,,,62.12959144
84.22963909,1820.5,,,62.22963909
84.32968675,2009.75,,,62.32968675
84.4297344,1776.8125,,,62.4297344
84.52978205,1704.125,,,62.52978205
84.6298297,2577.5,,,62.6298297
84.72987735,2293.625,,,62.72987735
84.829925,2399.5625,,,62.829925
84.92997265,2818.5,,,62.92997265
85.0300203,3248.25,,,63.0300203
85.13006796,2382.625,,,63.13006796
85.23011561,2588.8125,,,63.23011561
85.33016326,2588.8125,,,63.33016326
85.43021091,2271,,,63.43021091
85.53025856,2610,,,63.53025856
85.63030621,2807.1875,,,63.63030621
85.73035386,2635.25,,,63.73035386
85.83040151,3297.25,,,63.83040151
85.93044917,2797.3125,,,63.93044917
86.03049682,2104.375,,,64.03049682
86.13054447,1843.125,,,64.13054447
86.23059212,2187.6875,,,64.23059212
86.33063977,2399.5625,,,64.33063977
86.43068742,2956,,,64.43068742
86.53073507,2588.8125,,,64.53073507
86.63078272,2376.9375,,,64.63078272
86.73083038,2210.3125,,,64.73083038
86.83087803,2199,,,64.83087803
86.93092568,2388.25,,,64.93092568
87.03097333,2104.375,,,65.03097333
87.13102098,1831.8125,,,65.13102098
87.23106863,1903.8125,,,65.23106863
87.33111628,2293.625,,,65.33111628
87.43116393,1820.5,,,65.43116393
87.53121159,1223.6875,,,65.53121159
87.63125924,1631.25,,,65.63125924
87.73130689,1525.3125,,,65.73130689
87.83135454,2396.1875,,,65.83135454
87.93140219,2420.75,,,65.93140219
88.03144984,2460.6875,,,66.03144984
88.13149749,2144.8125,,,66.13149749
88.23154514,2104.375,,,66.23154514
88.3315928,2293.625,,,66.3315928
88.43164045,1725.875,,,66.43164045
88.5316881,2104.375,,,66.5316881
88.63173575,1158.125,,,66.63173575
88.7317834,1009.25,,,66.7317834
88.83183105,1722.5,,,66.83183105
88.9318787,2388.25,,,66.9318787
89.03192635,2588.8125,,,67.03192635
89.13197401,2330,,,67.13197401
89.23202166,3115.125,,,67.23202166
89.33206931,2531.25,,,67.33206931
89.43211696,1589.5625,,,67.43211696
89.53216461,1472.5625,,,67.53216461
89.63221226,1347.375,,,67.63221226
89.73225991,1430.6875,,,67.73225991
89.83230757,1817.125,,,67.83230757
89.93235522,2388.25,,,67.93235522
90.03240287,2399.5625,,,68.03240287
90.13245052,2293.625,,,68.13245052
90.23249817,2098.0625,,,68.23249817
90.33254582,2577.5,,,68.33254582
